dataset_name,det_best,det_avg,det_worst,rand_best,rand_avg,rand_worst
duplicates_1000.csv,0.2024,0.291603,0.8991,0.126,0.15558,0.4077
duplicates_10000.csv,14.9929,20.3734,33.2632,0.8601,1.03693,1.9277
nearly_sorted_1000.csv,0.1787,0.232103,0.5858,0.1528,0.171779,0.378
nearly_sorted_10000.csv,1.4232,1.8362,3.0248,1.5482,2.33975,4.7102
random_1000.csv,0.0721,0.090849,0.1931,0.2407,0.267817,0.8097
random_10000.csv,1.3185,1.37124,2.1753,2.1987,3.14849,5.4484
reverse_1000.csv,0.6309,0.899352,1.7014,0.2068,0.216067,0.2497
reverse_10000.csv,37.9888,55.8387,98.4882,1.0258,1.25481,1.7628
same_1000.csv,0.5903,1.03245,2.4202,0.1138,0.114755,0.1243
same_10000.csv,33.6806,43.2923,102.929,0.4374,0.453213,0.4871
sorted_1000.csv,0.4436,0.656875,1.2935,0.1708,0.207379,0.4126
sorted_10000.csv,41.8378,52.5656,94.434,1.0222,1.13733,1.6943
