Number,BitLength,TimeSec
524309,20,0.0000005850
524341,20,0.0000005990
524347,20,0.0000006440
524351,20,0.0000006750
524353,20,0.0000005480
8388617,24,0.0000007170
8388619,24,0.0000007620
8388623,24,0.0000007690
8388637,24,0.0000007670
8388673,24,0.0000007140
134217757,28,0.0000009460
134217773,28,0.0000009430
134217779,28,0.0000010260
134217781,28,0.0000009690
134217799,28,0.0000009720
2147483659,32,0.0000011410
2147483693,32,0.0000011500
2147483713,32,0.0000010930
2147483743,32,0.0000012230
2147483777,32,0.0000011020
34359738421,36,0.0000013550
34359738451,36,0.0000013700
34359738467,36,0.0000013930
34359738473,36,0.0000014280
34359738493,36,0.0000016120
549755813911,40,0.0000018660
549755813927,40,0.0000017860
549755813933,40,0.0000017630
549755813951,40,0.0000019070
549755813963,40,0.0000017950
8796093022237,44,0.0000018920
8796093022247,44,0.0000018710
8796093022261,44,0.0000018530
8796093022313,44,0.0000018520
8796093022349,44,0.0000018360
140737488355333,48,0.0000020380
140737488355337,48,0.0000020380
140737488355369,48,0.0000020890
140737488355393,48,0.0000020570
140737488355441,48,0.0000021280
2251799813685269,52,0.0000023600
2251799813685313,52,0.0000023540
2251799813685329,52,0.0000023570
2251799813685349,52,0.0000024130
2251799813685413,52,0.0000024350
36028797018963971,56,0.0000026560
36028797018963979,56,0.0000027010
36028797018964019,56,0.0000027670
36028797018964051,56,0.0000027480
36028797018964073,56,0.0000027510
576460752303423619,60,0.0000030730
576460752303423649,60,0.0000030290
576460752303423733,60,0.0000031670
576460752303423737,60,0.0000031420
576460752303423749,60,0.0000030080
9223372036854775837,64,0.0000034260
9223372036854775907,64,0.0000035040
9223372036854775931,64,0.0000035700
9223372036854775939,64,0.0000034340
9223372036854775963,64,0.0000035100
